Width,Page,Left,Top,Height,Text,Font,Size,Font Count
324,1,140,597,26,"Subcontract Agreement 116186/017  
",ArialMT,26.67,1
195,1,204,561,26,"Shell and Core works  
",ArialMT,26.67,1
65,1,270,527,26,"for the  
",ArialMT,26.67,1
346,1,127,491,26,"Al Reem Integrated Health Care Center 
",ArialMT,26.67,1
309,1,145,456,21,"(Hereinafter referred to as the “Subcontract”) 
",ArialMT,21.24,1
106,1,72,159,14,"Date: 21st January 2019
",ArialMT,8.62 13.26,1
132,2,232,771,16,"TABLE OF CONTENTS 
",Arial-BoldMT,16.73,1
434,2,72,746,15,"1.  Defined terms & Interpretation ............................................................................................. 1 
",Arial-BoldItalicMT,13.88 15.39,1
434,2,72,734,14,"1.1  Definitions ............................................................................................................................... 1 
",ArialMT,14.69 13.26,1
16,2,72,722,14,"1.2 
",ArialMT,14.69 13.26,1
407,2,99,722,14,"Interpretation .......................................................................................................................... 7 
",ArialMT,14.69 13.26,1
434,2,72,711,14,"1.3  Communications ..................................................................................................................... 8 
",ArialMT,14.69 13.26,1
434,2,72,700,14,"1.4  Law and Language ................................................................................................................. 8 
",ArialMT,14.69 13.26,1
434,2,72,688,14,"1.5  Priority of Documents ............................................................................................................. 8 
",ArialMT,14.69 13.26,1
434,2,72,676,14,"1.6  Entire Agreement ................................................................................................................... 9 
",ArialMT,14.69 13.26,1
434,2,72,665,14,"1.7  Assignment ............................................................................................................................. 9 
",ArialMT,14.69 13.26,1
434,2,72,653,14,"1.8  Care and Supply of Documents ............................................................................................. 9 
",ArialMT,14.69 13.26,1
434,2,72,642,14,"1.9  Confidential Details .............................................................................................................. 10 
",ArialMT,14.69 13.26,1
434,2,72,631,14,"1.10  Compliance with Laws .......................................................................................................... 10 
",ArialMT,14.69 13.26,1
434,2,72,607,15,"2.  Nature of the Subcontract .................................................................................................. 11 
",Arial-BoldItalicMT,13.88 15.39,1
434,2,72,595,14,"2.1  Project objectives ................................................................................................................. 11 
",ArialMT,14.69 13.26,1
434,2,72,584,14,"2.2  Fundamental Obligations of the Parties ............................................................................... 11 
",ArialMT,14.69 13.26,1
434,2,72,572,14,"2.3  Financing Agreements ......................................................................................................... 11 
",ArialMT,14.69 13.26,1
11,2,72,549,15,"3. 
",Arial-BoldItalicMT,13.88 15.39,1
410,2,96,549,15,"The Contractor and the Contractor’s Representative ..................................................... 11 
",Arial-BoldItalicMT,13.88 15.39,1
434,2,72,538,14,"3.1  Right of Access to the Site ................................................................................................... 11 
",ArialMT,14.69 13.26,1
434,2,72,526,14,"3.2  Permits ................................................................................................................................. 12 
",ArialMT,14.69 13.26,1
434,2,72,514,14,"3.3  Cooperation with the Contractor’s Personnel ....................................................................... 13 
",ArialMT,14.69 13.26,1
434,2,72,503,14,"3.4  Record Retention ................................................................................................................. 13 
",ArialMT,14.69 13.26,1
434,2,72,492,14,"3.5  Contractor’s Representative’s Duties and Authority ............................................................ 13 
",ArialMT,14.69 13.26,1
434,2,72,480,14,"3.6  Delegation by the Contractor’s Representative.................................................................... 13 
",ArialMT,14.69 13.26,1
16,2,72,469,14,"3.7 
",ArialMT,14.69 13.26,1
407,2,99,469,14,"Instructions of the Contractor’s Representative ................................................................... 14 
",ArialMT,14.69 13.26,1
434,2,72,457,14,"3.8  Replacement of the Contractor’s Representative ................................................................ 14 
",ArialMT,14.69 13.26,1
434,2,72,445,14,"3.9  Determinations ..................................................................................................................... 14 
",ArialMT,14.69 13.26,1
11,2,72,422,15,"4. 
",Arial-BoldItalicMT,13.88 15.39,1
410,2,96,422,15,"The Subcontractor............................................................................................................... 15 
",Arial-BoldItalicMT,13.88 15.39,1
434,2,72,411,14,"4.1  Subcontractor’s General Obligations ................................................................................... 15 
",ArialMT,14.69 13.26,1
434,2,72,399,14,"4.2  Buildability Issues ................................................................................................................. 16 
",ArialMT,14.69 13.26,1
434,2,72,388,14,"4.3  Performance Security ........................................................................................................... 17 
",ArialMT,14.69 13.26,1
434,2,72,376,14,"4.4  Subcontractor’s Representative ........................................................................................... 18 
",ArialMT,14.69 13.26,1
434,2,72,364,14,"4.5  Co-operation ......................................................................................................................... 18 
",ArialMT,14.69 13.26,1
434,2,72,353,14,"4.6  Setting Out............................................................................................................................ 19 
",ArialMT,14.69 13.26,1
434,2,72,342,14,"4.7  Safety Procedures ................................................................................................................ 19 
",ArialMT,14.69 13.26,1
434,2,72,330,14,"4.8  Quality Assurance ................................................................................................................ 19 
",ArialMT,14.69 13.26,1
434,2,72,319,14,"4.9  Sufficiency of the Subcontract Price, Time for Completion .................................................. 20 
",ArialMT,14.69 13.26,1
