,Width,Page,Left,Top,Height,Text,Font,Size,Font Count,Is_Bullet,Heading,TOC,SScore,TextCount,IsCapital,Preds,Probs
16,385,1,92,536,28,"ENVIRONMENTAL, HEALTH, 
",EPEKJD+ArialMT,28,1,0,1,0,18,2,1,1,0.93
17,420,1,92,503,28,"SAFETY & SECURITY MANUAL 
",EPEKJD+ArialMT,28,1,0,1,0,18,4,1,1,0.85
18,343,1,92,453,16,"DAR AL SHIFAA HOSPITAL, KHALIFA CITY 
",EPEKJD+ArialMT,16,1,0,1,0,6,6,1,1,0.87
27,54,2,280,646,9,"CONTENTS 
",Arial-BoldMT,9,1,0,1,0,2,1,1,1,0.56
222,425,5,92,647,10,"40  APPENDICES............................................................................................................................ 99 
","EPEMAL+Calibri,Arial-BoldMT",10,2,0,1,0,0,3,1,1,0.51
243,11,6,92,646,14,1,Arial-BoldMT,14,1,0,1,0,6,1,0,1,0.84
244,112,6,126,646,14,"INTRODUCTION 
",Arial-BoldMT,14,1,0,1,0,6,1,1,1,0.75
286,11,7,92,526,14,2,Arial-BoldMT,14,1,0,1,0,6,1,0,1,0.84
287,305,7,126,526,14,"SCOPE AND OBJECTIVES OF THE MANUAL  
",Arial-BoldMT,14,1,0,1,0,6,6,1,1,0.64
303,11,7,92,346,14,3,Arial-BoldMT,14,1,0,1,0,6,1,0,1,0.84
304,156,7,126,346,14,"PERSONAL CONDUCT 
",Arial-BoldMT,14,1,0,1,0,6,2,1,1,0.82
314,106,7,92,130,11,"3.1  DISCLAIMER 
",Arial-BoldMT,11,1,2,1,1,3,2,1,1,0.62
327,11,8,92,646,14,4,Arial-BoldMT,14,1,0,1,0,6,1,0,1,0.84
328,375,8,126,646,14,"HEALTH AND SAFETY MANAGEMENT ORGANISATION 
",Arial-BoldMT,14,1,0,1,0,6,5,1,1,0.71
329,163,8,126,629,14,"AN RESPONSIBILITIES  
",Arial-BoldMT,14,1,0,1,0,6,2,1,1,0.79
375,11,9,92,646,14,5,Arial-BoldMT,14,1,0,1,0,6,1,0,1,0.84
376,216,9,126,646,14,"HEALTH & SAFETY MEETINGS  
",Arial-BoldMT,14,1,0,1,0,6,4,1,1,0.81
384,11,9,92,499,14,6,Arial-BoldMT,14,1,0,1,0,6,1,0,1,0.84
385,272,9,126,499,14,"PROVISIONS OF EHS COORIDINATORS 
",Arial-BoldMT,14,1,0,1,0,6,4,1,1,0.82
407,11,9,92,235,14,7,Arial-BoldMT,14,1,0,1,0,6,1,0,1,0.84
408,126,9,126,235,14,"COMMUNICATION 
",Arial-BoldMT,14,1,0,1,0,6,1,1,1,0.75
