Character,Height,Relative Height
a,1,0.0012626709025066543
b,1,0.0012626709025066543
c,1,0.0012626709025066543
d,1,0.0012626709025066543
e,1,0.0012626709025066543
f,1,0.0012626709025066543
g,1,0.0012626709025066543
h,1,0.0012626709025066543
i,1,0.0012626709025066543
j,1,0.0012626709025066543
k,1,0.0012626709025066543
l,1,0.0012626709025066543
m,1,0.0012626709025066543
n,1,0.0012626709025066543
o,1,0.0012626709025066543
p,1,0.0012626709025066543
q,1,0.0012626709025066543
r,1,0.0012626709025066543
s,1,0.0012626709025066543
t,1,0.0012626709025066543
u,1,0.0012626709025066543
v,1,0.0012626709025066543
w,1,0.0012626709025066543
x,1,0.0012626709025066543
y,1,0.0012626709025066543
z,1,0.0012626709025066543
A,1,0.0012626709025066543
B,1,0.0012626709025066543
C,1,0.0012626709025066543
D,1,0.0012626709025066543
E,1,0.0012626709025066543
F,1,0.0012626709025066543
G,1,0.0012626709025066543
H,1,0.0012626709025066543
I,1,0.0012626709025066543
J,1,0.0012626709025066543
K,1,0.0012626709025066543
L,1,0.0012626709025066543
M,1,0.0012626709025066543
N,1,0.0012626709025066543
O,1,0.0012626709025066543
P,1,0.0012626709025066543
Q,1,0.0012626709025066543
R,1,0.0012626709025066543
S,1,0.0012626709025066543
T,1,0.0012626709025066543
U,1,0.0012626709025066543
V,1,0.0012626709025066543
W,1,0.0012626709025066543
X,1,0.0012626709025066543
Y,1,0.0012626709025066543
Z,1,0.0012626709025066543
0,1,0.0012626709025066543
1,1,0.0012626709025066543
2,1,0.0012626709025066543
3,1,0.0012626709025066543
4,1,0.0012626709025066543
5,1,0.0012626709025066543
6,1,0.0012626709025066543
7,1,0.0012626709025066543
8,1,0.0012626709025066543
9,1,0.0012626709025066543
!,1,0.0012626709025066543
"""",1,0.0012626709025066543
#,1,0.0012626709025066543
$,1,0.0012626709025066543
%,1,0.0012626709025066543
&,1,0.0012626709025066543
',1,0.0012626709025066543
(,1,0.0012626709025066543
),1,0.0012626709025066543
*,1,0.0012626709025066543
+,1,0.0012626709025066543
",",1,0.0012626709025066543
-,1,0.0012626709025066543
.,1,0.0012626709025066543
/,1,0.0012626709025066543
:,1,0.0012626709025066543
;,1,0.0012626709025066543
<,1,0.0012626709025066543
=,1,0.0012626709025066543
>,1,0.0012626709025066543
?,1,0.0012626709025066543
@,1,0.0012626709025066543
[,1,0.0012626709025066543
\,1,0.0012626709025066543
],1,0.0012626709025066543
^,1,0.0012626709025066543
_,1,0.0012626709025066543
`,1,0.0012626709025066543
{,1,0.0012626709025066543
|,1,0.0012626709025066543
},1,0.0012626709025066543
~,1,0.0012626709025066543
a,2,0.0025253418050133086
b,2,0.0025253418050133086
c,2,0.0025253418050133086
d,2,0.0025253418050133086
e,2,0.0025253418050133086
f,2,0.0025253418050133086
g,2,0.0025253418050133086
h,2,0.0025253418050133086
i,2,0.0025253418050133086
j,2,0.0025253418050133086
k,2,0.0025253418050133086
l,2,0.0025253418050133086
m,2,0.0025253418050133086
n,2,0.0025253418050133086
o,2,0.0025253418050133086
p,2,0.0025253418050133086
q,2,0.0025253418050133086
r,2,0.0025253418050133086
s,2,0.0025253418050133086
t,2,0.0025253418050133086
u,2,0.0025253418050133086
v,2,0.0025253418050133086
w,2,0.0025253418050133086
x,2,0.0025253418050133086
y,2,0.0025253418050133086
z,2,0.0025253418050133086
A,2,0.0025253418050133086
B,2,0.0025253418050133086
C,2,0.0025253418050133086
D,2,0.0025253418050133086
E,2,0.0025253418050133086
F,2,0.0025253418050133086
G,2,0.0025253418050133086
H,2,0.0025253418050133086
I,2,0.0025253418050133086
J,2,0.0025253418050133086
K,2,0.0025253418050133086
L,2,0.0025253418050133086
M,2,0.0025253418050133086
N,2,0.0025253418050133086
O,2,0.0025253418050133086
P,2,0.0025253418050133086
Q,2,0.0025253418050133086
R,2,0.0025253418050133086
S,2,0.0025253418050133086
T,2,0.0025253418050133086
U,2,0.0025253418050133086
V,2,0.0025253418050133086
W,2,0.0025253418050133086
X,2,0.0025253418050133086
Y,2,0.0025253418050133086
Z,2,0.0025253418050133086
0,2,0.0025253418050133086
1,2,0.0025253418050133086
2,2,0.0025253418050133086
3,2,0.0025253418050133086
4,2,0.0025253418050133086
5,2,0.0025253418050133086
6,2,0.0025253418050133086
7,2,0.0025253418050133086
8,2,0.0025253418050133086
9,2,0.0025253418050133086
!,2,0.0025253418050133086
"""",2,0.0025253418050133086
#,2,0.0025253418050133086
$,2,0.0025253418050133086
%,2,0.0025253418050133086
&,2,0.0025253418050133086
',2,0.0025253418050133086
(,2,0.0025253418050133086
),2,0.0025253418050133086
*,2,0.0025253418050133086
+,2,0.0025253418050133086
",",2,0.0025253418050133086
-,2,0.0025253418050133086
.,2,0.0025253418050133086
/,2,0.0025253418050133086
:,2,0.0025253418050133086
;,2,0.0025253418050133086
<,2,0.0025253418050133086
=,2,0.0025253418050133086
>,2,0.0025253418050133086
?,2,0.0025253418050133086
@,2,0.0025253418050133086
[,2,0.0025253418050133086
\,2,0.0025253418050133086
],2,0.0025253418050133086
^,2,0.0025253418050133086
_,2,0.0025253418050133086
`,2,0.0025253418050133086
{,2,0.0025253418050133086
|,2,0.0025253418050133086
},2,0.0025253418050133086
~,2,0.0025253418050133086
a,3,0.003788012707519963
b,3,0.003788012707519963
c,3,0.003788012707519963
d,3,0.003788012707519963
e,3,0.003788012707519963
f,3,0.003788012707519963
g,3,0.003788012707519963
h,3,0.003788012707519963
i,3,0.003788012707519963
j,3,0.003788012707519963
k,3,0.003788012707519963
l,3,0.003788012707519963
m,3,0.003788012707519963
n,3,0.003788012707519963
o,3,0.003788012707519963
p,3,0.003788012707519963
q,3,0.003788012707519963
r,3,0.003788012707519963
s,3,0.003788012707519963
t,3,0.003788012707519963
u,3,0.003788012707519963
v,3,0.003788012707519963
w,3,0.003788012707519963
x,3,0.003788012707519963
y,3,0.003788012707519963
z,3,0.003788012707519963
A,3,0.003788012707519963
B,3,0.003788012707519963
C,3,0.003788012707519963
D,3,0.003788012707519963
E,3,0.003788012707519963
F,3,0.003788012707519963
G,3,0.003788012707519963
H,3,0.003788012707519963
I,3,0.003788012707519963
J,3,0.003788012707519963
K,3,0.003788012707519963
L,3,0.003788012707519963
M,3,0.003788012707519963
N,3,0.003788012707519963
O,3,0.003788012707519963
P,3,0.003788012707519963
Q,3,0.003788012707519963
R,3,0.003788012707519963
S,3,0.003788012707519963
T,3,0.003788012707519963
U,3,0.003788012707519963
V,3,0.003788012707519963
W,3,0.003788012707519963
X,3,0.003788012707519963
Y,3,0.003788012707519963
Z,3,0.003788012707519963
0,3,0.003788012707519963
1,3,0.003788012707519963
2,3,0.003788012707519963
3,3,0.003788012707519963
4,3,0.003788012707519963
5,3,0.003788012707519963
6,3,0.003788012707519963
7,3,0.003788012707519963
8,3,0.003788012707519963
9,3,0.003788012707519963
!,3,0.003788012707519963
"""",3,0.003788012707519963
#,3,0.003788012707519963
$,3,0.003788012707519963
%,3,0.003788012707519963
&,3,0.003788012707519963
',3,0.003788012707519963
(,3,0.003788012707519963
),3,0.003788012707519963
*,3,0.003788012707519963
+,3,0.003788012707519963
",",3,0.003788012707519963
-,3,0.003788012707519963
.,3,0.003788012707519963
/,3,0.003788012707519963
:,3,0.003788012707519963
;,3,0.003788012707519963
<,3,0.003788012707519963
=,3,0.003788012707519963
>,3,0.003788012707519963
?,3,0.003788012707519963
@,3,0.003788012707519963
[,3,0.003788012707519963
\,3,0.003788012707519963
],3,0.003788012707519963
^,3,0.003788012707519963
_,3,0.003788012707519963
`,3,0.003788012707519963
{,3,0.003788012707519963
|,3,0.003788012707519963
},3,0.003788012707519963
~,3,0.003788012707519963
a,4,0.005050683610026617
b,4,0.005050683610026617
c,4,0.005050683610026617
d,4,0.005050683610026617
e,4,0.005050683610026617
f,4,0.005050683610026617
g,4,0.005050683610026617
h,4,0.005050683610026617
i,4,0.005050683610026617
j,4,0.005050683610026617
k,4,0.005050683610026617
l,4,0.005050683610026617
m,4,0.005050683610026617
n,4,0.005050683610026617
o,4,0.005050683610026617
p,4,0.005050683610026617
q,4,0.005050683610026617
r,4,0.005050683610026617
s,4,0.005050683610026617
t,4,0.005050683610026617
u,4,0.005050683610026617
v,4,0.005050683610026617
w,4,0.005050683610026617
x,4,0.005050683610026617
y,4,0.005050683610026617
z,4,0.005050683610026617
A,4,0.005050683610026617
B,4,0.005050683610026617
C,4,0.005050683610026617
D,4,0.005050683610026617
E,4,0.005050683610026617
F,4,0.005050683610026617
G,4,0.005050683610026617
H,4,0.005050683610026617
I,4,0.005050683610026617
J,4,0.005050683610026617
K,4,0.005050683610026617
L,4,0.005050683610026617
M,4,0.005050683610026617
N,4,0.005050683610026617
O,4,0.005050683610026617
P,4,0.005050683610026617
Q,4,0.005050683610026617
